1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Enpp2,Col4a2,Cux2,Rprm,Efhd2,Nptxr,Slc32a1,Igfbp5,Nptxr,Gja1,Nptx1,Dlx1,Nptxr,Igfbp5,Hes6,Cldn11,Dlx1,Scn2b,Atp1b2,Csf1r,Dlx2,Foxj1,Slc32a1,Mcm5,Sox10,Mgat1
Folr1,Eng,Cacng3,Garnl3,Nptx1,Lingo1,Pcp4l1,Thbs4,Grm2,Htra1,Rprm,Islr2,Gpr26,Thbs4,Ascl1,Mag,Sp9,Cplx1,Gja1,Laptm5,Dlx1,Tm4sf1,Kcnc1,Dlx2,Gpr17,Parp16
Igf2,Cldn5,Lamp5,Adcy1,Slc17a7,Cux2,Gng7,Sall3,Dact2,Gpr37l1,Grik3,Insm1,Lingo1,Mgat5,Igfbp5,Gjc2,Islr2,Cend1,Trim9,Grn,Insm1,Hspa2,Diras1,Zhx2,Kank1,Csf2ra
Clic6,Pltp,Lingo1,Slc17a7,Igsf21,Rtn4r,Kcnc1,Atp8a1,Lingo1,S1pr1,Fam163b,Arx,Stx1a,Abhd4,Insm1,Cnp,Trp53i11,Them6,Aldh1l1,Selplg,Scrt2,Rsph4a,Dlx1,Mcm7,Matn4,Utrn
Aqp1,Apcdd1,Cadm3,Ephb6,Islr2,Atp1a1,Cygb,Prkci,Syngap1,Atp1b2,Diras2,Chac1,Nr2f1,Gja1,Mcm5,Gal3st1,Tiam2,Lynx1,Htra1,Itgb5,Igfbp5,Tagln2,Kcnc2,Slc25a36,Pllp,Uspl1
Sostdc1,Epas1,Lmtk3,Hs3st4,Adcy1,Synpo,Slc6a1,Abhd4,Car10,Ntsr2,Hs3st4,Dlx2,Atf6b,Ptprz1,Hirip3,Mog,Samd14,Cntnap1,Grin2c,Fcrls,Kif18b,Ttc34,Nap1l5,Trp53,Sirt2,Mrpl17
Gas6,Nid1,Rtn4r,Efhd2,Ephb6,Hs6st3,Eef1a2,Tor1aip1,Ngef,Fgfr3,Efhd2,Mettl17,Svop,Pygb,Ptbp1,Fa2h,Arx,Prepl,Nptxr,Tmem119,Mki67,Elmod3,Zfp385a,H2afy2,Cnp,Fbxo28
Tmem72,Slc7a5,Stard8,Syt7,Fam163b,Eef1a2,Hrh3,Ttyh3,Rtn4r,Gjb6,Igsf21,Samd14,Ngef,Zfp36l1,Racgap1,Arhgef10,Acin1,Tusc2,Dact2,Cyth4,Carhsp1,Aebp1,Slc6a1,Ascl1,Sox8,Gprin3
Kl,Ltbp4,Coro1a,Nptx1,Cadm4,Ngef,Rasd2,Dtx1,Arc,Acsbg1,Islr2,Dchs1,Rusc1,Lfng,Trp53,Ugt8a,Dclk2,Ncs1,Nr1d1,Ctsd,Hirip3,Lrrc10b,Lhx6,Phf8,Abtb2,Klhl21
Slc4a2,Cdh5,Nptxr,Grik3,Grik3,Rab15,Elfn1,Gja1,Pgbd5,Lfng,Garnl3,Igsf3,Actr1b,Rgma,Dlx2,Gsn,Insm1,Stxbp1,Grm2,Tgfb1,Mcm5,Pltp,Cygb,Igfbp5,Mfsd2a,Ccdc102a
Abhd2,Ptprb,Eef1a2,Diras2,Prrt3,Clstn1,Rpp25,Sox9,Stx1a,Fam107a,Kif3c,Celsr3,Synpo,Sfrp1,Sox2,Ttyh2,Zcchc14,Dusp3,Cry2,Unc93b1,Ascl1,Abca1,Ppp2r5b,Tlr13,Tns3,Rassf2
Ucp2,Flt1,Prex1,Igsf21,Nsmf,Fstl4,Rasgrp2,Ubxn7,Osbp2,Slc6a11,Tbr1,Scrib,Rtn4r,Sox9,Notch1,Lgi3,Cited2,Dynll2,Lingo1,Mafb,Sall1,Pygb,Rpp25,Hes6,Sulf2,Dalrd3
Pltp,Myh9,Add2,Etv5,Klhdc3,Tmem198,Grin2d,Cnksr3,Actr1b,Gpam,Cacna1a,Scrt2,Gucy1b3,Lrp4,Mki67,Sox10,Dlx2,Ube2ql1,Fgfr3,Sall1,Slit1,Paxbp1,Ina,Matn1,Fyn,Dgka
Ctsd,Esam,Dact2,Arc,Diras2,Dnajb5,Pde1b,Abca1,Hs6st3,Sdc4,Mmp17,Plod2,Kif3c,Notch2,Mcm7,Tmem88b,Scrt2,Rnf157,Slc9a3r1,Adap2,Mcm6,Crb2,Cplx1,Bmp6,Sh3bp4,Tbl2
Atp2b3,Slc22a8,Syt17,Cadm4,Tbr1,Lmtk3,Diras1,Ptprt,Nr1d1,Elovl5,Adcy1,Gpkow,Abhd8,Slc9a3r1,Sall3,Pllp,Rgs16,Slc6a17,Boc,Lgmn,Hes6,Ift80,Mafb,Llgl1,Chadl,Gab3
Aldh2,Slc2a1,Clstn1,Adora1,Mapk8ip3,Slc17a7,Rgs8,Zeb1,Eef1a2,Slc27a1,Phyhipl,Dpysl5,Adra1d,Abca1,Egfr,Hapln2,Trp53,Prkaca,Clip2,Coro1a,Nt5dc2,Sox2,Rcan2,Klhl41,Gpr37l1,Fgfr2
Sulf1,Afap1l1,Atp1a1,Tmem181b-ps,Tmem178,Syngap1,Cend1,Rgma,Nr4a1,Ttyh1,Prkcg,Vcan,Syngap1,Neo1,Nasp,Tmeff2,Sbk1,Smarcc2,Ttyh1,Ucp2,Mau2,Hey1,Iglon5,Rgs16,Vcan,Dhx35
Pcolce,Heg1,Syngap1,Tbr1,Srcin1,Stx1a,Scn4b,Notch2,Prmt8,Notch1,Bcas1,Ccnl2,Pgbd5,Sox2,Coro1c,Pacs2,Dpysl5,Kcnab2,Camk2g,Slco2b1,Mn1,Prr18,Srgap3,Ift80,Vat1,Csnk2a1
Cd82,Fcgrt,Agap2,Mmp17,Rph3a,Cadm3,Grin1,Vcl,Nrsn1,Slc7a10,Pex5,Ccar2,Klc2,Fam107a,Mcm6,Abca2,Fbxw8,Sult4a1,Car10,Cotl1,Trp53,Prelp,Dner,Ptbp1,Sema5a,Ak7
Slc29a4,Lamc1,Sphkap,Prkcg,Prkcg,Grin1,Arl4c,Hirip3,Egr3,Slc9a3r1,Ephb6,Grin3a,Atp1a1,Fads2,Abca1,Tmbim1,Igfbp5,Rusc1,Me1,Ifngr1,Mcm7,Sall1,Grin2d,Tcof1,Fa2h,Ktn1
,,,,,,,,,,,,,,,,,,,,,,,,,
choroid plexus,Endothelial,Excitatory layer II,Excitatory layer 5/6,Excitatory layer 5/6,Excitatory layer 4,Interneuron,NSC,Excitatory layer 3,Astrocytes superficial,Excitatory 5/6,Neuroblast,Excitatory layer 3,NSC,Neural progenitors,Oligodendrocytes,Neuroblasts,Excitatory layer 5/6,Astrocytes deep ,Microglia,Neuroblast,Ependymal,Interneurons deep,Neural progenitors,OPC,unannotated